race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4764 (0.4556-0.4967),0.5236 (0.5033-0.5444),0.4675 (0.4516-0.4836)
BVAP,0.8509 (0.7353-0.9278),0.1491 (0.0722-0.2647),0.2616 (0.1826-0.3447)
HVAP,0.7601 (0.4199-0.9247),0.2399 (0.0753-0.5801),0.1598 (0.0658-0.2739)
OVAP,0.8267 (0.6064-0.9599),0.1733 (0.0401-0.3936),0.4586 (0.2581-0.656)
