race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.5138 (0.489-0.5381),0.4862 (0.4619-0.511),0.5623 (0.5366-0.5875)
OVAP,0.8776 (0.7991-0.9341),0.1224 (0.0659-0.2009),0.3978 (0.3169-0.482)
