race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.4469 (0.4219-0.4715),0.5531 (0.5285-0.5781),0.6588 (0.6328-0.6863)
OVAP,0.879 (0.7999-0.9337),0.121 (0.0663-0.2001),0.4451 (0.3602-0.5281)
