race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4837 (0.4644-0.5022),0.5163 (0.4978-0.5356),0.4875 (0.471-0.5038)
OVAP,0.8667 (0.7753-0.9268),0.1333 (0.0732-0.2247),0.236 (0.183-0.2906)
