race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.4235 (0.4053-0.4404),0.5765 (0.5596-0.5947),0.6717 (0.6513-0.6903)
OVAP,0.9391 (0.8963-0.9692),0.0609 (0.0308-0.1037),0.4244 (0.3667-0.4888)
