race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1913 (0.1596-0.2245),0.8087 (0.7755-0.8404),0.5906 (0.5678-0.6157)
OVAP,0.886 (0.8174-0.9353),0.114 (0.0647-0.1826),0.4308 (0.3481-0.5039)
