race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.423 (0.3969-0.4493),0.1091 (0.0948-0.1239),0.1489 (0.1324-0.1658),0.0581 (0.0471-0.0696),0.2608 (0.2406-0.2814),0.0774 (0.0739-0.0812)
OVAP,0.4876 (0.4234-0.5545),0.0867 (0.0515-0.123),0.1043 (0.0676-0.1445),0.0637 (0.0368-0.0928),0.2576 (0.2069-0.3074),0.1029 (0.0908-0.1149)
