race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.2694 (0.2535-0.2843),0.7306 (0.7157-0.7465),0.3956 (0.3873-0.404)
OVAP,0.5118 (0.2069-0.8105),0.4882 (0.1895-0.7931),0.6705 (0.4108-0.8867)
