race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9742 (0.9439-0.9941),0.0258 (0.0059-0.0561),0.0155 (0.011-0.0198)
OVAP,0.9021 (0.7948-0.9648),0.0979 (0.0352-0.2052),0.3927 (0.1878-0.6128)
