race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.1547 (0.1338-0.1725),0.8453 (0.8275-0.8662),0.3006 (0.2927-0.3092)
OVAP,0.5119 (0.1855-0.8193),0.4881 (0.1807-0.8145),0.6582 (0.3895-0.897)
