race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4671 (0.3126-0.6127),0.1067 (0.041-0.1894),0.2051 (0.1-0.3301),0.0714 (0.0249-0.1366),0.1497 (0.0586-0.2699),0.009 (0.0067-0.0117)
OVAP,0.361 (0.2223-0.4796),0.1219 (0.0678-0.1852),0.1907 (0.1026-0.2855),0.0919 (0.0444-0.1433),0.2344 (0.1387-0.3289),0.578 (0.4597-0.6876)
