race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.6026 (0.4493-0.7418),0.1826 (0.0849-0.2984),0.2148 (0.0933-0.3633),0.0141 (0.0109-0.0176)
OVAP,0.2754 (0.1223-0.4464),0.2682 (0.1394-0.3958),0.4564 (0.2743-0.6126),0.6194 (0.4657-0.7702)
