race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.5973 (0.4434-0.7374),0.1735 (0.0808-0.2877),0.2292 (0.1008-0.3865),0.0125 (0.0098-0.0153)
BVAP,0.3001 (0.1076-0.534),0.2614 (0.0921-0.4676),0.4385 (0.2081-0.6659),0.4875 (0.3056-0.6656)
HVAP,0.3114 (0.1093-0.5758),0.2999 (0.0915-0.5337),0.3887 (0.1432-0.6522),0.7762 (0.557-0.9324)
OVAP,0.3381 (0.1109-0.6034),0.2468 (0.0937-0.4399),0.415 (0.1735-0.6689),0.7786 (0.5725-0.9404)
