race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.136 (0.1186-0.1527),0.864 (0.8473-0.8814),0.385 (0.3765-0.3938)
OVAP,0.5516 (0.1865-0.8601),0.4484 (0.1399-0.8135),0.6725 (0.399-0.9057)
