race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.3986 (0.2414-0.549),0.1084 (0.0369-0.1911),0.4929 (0.3307-0.654),0.0166 (0.0129-0.0208)
OVAP,0.3361 (0.1484-0.5337),0.2184 (0.1124-0.353),0.4455 (0.2345-0.6488),0.6375 (0.4516-0.7977)
