race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.2118 (0.1973-0.2254),0.7882 (0.7746-0.8027),0.4377 (0.4294-0.4467)
OVAP,0.5205 (0.1998-0.8395),0.4795 (0.1605-0.8002),0.6655 (0.3536-0.8924)
