race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9787 (0.9516-0.9961),0.0213 (0.0039-0.0484),0.0139 (0.0104-0.0174)
BVAP,0.8399 (0.5976-0.971),0.1601 (0.029-0.4024),0.2962 (0.1266-0.4929)
HVAP,0.8637 (0.6656-0.9655),0.1363 (0.0345-0.3344),0.552 (0.2495-0.8497)
OVAP,0.9075 (0.7582-0.9809),0.0925 (0.0191-0.2418),0.5683 (0.2513-0.8473)
