race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.1606 (0.1427-0.1778),0.8394 (0.8222-0.8573),0.3711 (0.3627-0.3798)
OVAP,0.5432 (0.1836-0.8842),0.4568 (0.1158-0.8164),0.6729 (0.3967-0.8957)
