race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.2093 (0.1885-0.2269),0.7907 (0.7731-0.8115),0.3024 (0.2942-0.3111)
OVAP,0.4814 (0.171-0.7902),0.5186 (0.2098-0.829),0.6521 (0.3738-0.8933)
