race,AG18D,AG18R,AG18Turnout
WVAP,0.1645 (0.145-0.1822),0.8355 (0.8178-0.855),0.3084 (0.3003-0.3166)
OVAP,0.5384 (0.2196-0.8355),0.4616 (0.1645-0.7804),0.6601 (0.3834-0.8918)
