race,AG14D,AG14R,AG14Turnout
WVAP,0.2013 (0.1789-0.2217),0.7987 (0.7783-0.8211),0.2749 (0.2673-0.2831)
OVAP,0.5065 (0.1819-0.8249),0.4935 (0.1751-0.8181),0.6801 (0.4166-0.9022)
