race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.0819 (0.0641-0.0991),0.9181 (0.9009-0.9359),0.3089 (0.3009-0.3173)
OVAP,0.5404 (0.2407-0.8286),0.4596 (0.1714-0.7593),0.6741 (0.3788-0.9079)
