race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.3167 (0.2969-0.337),0.6833 (0.663-0.7031),0.2978 (0.2899-0.3062)
OVAP,0.525 (0.1933-0.83),0.475 (0.17-0.8067),0.6784 (0.4065-0.9016)
