race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.2868 (0.2713-0.3016),0.7132 (0.6984-0.7287),0.2976 (0.2908-0.3045)
BVAP,0.5069 (0.157-0.847),0.4931 (0.153-0.843),0.6529 (0.3728-0.8807)
HVAP,0.5317 (0.2082-0.8392),0.4683 (0.1608-0.7918),0.6621 (0.3729-0.8895)
OVAP,0.4842 (0.1795-0.8191),0.5158 (0.1809-0.8205),0.6683 (0.3988-0.8923)
