race,AG14D,AG14R,AG14Turnout
WVAP,0.2021 (0.1869-0.2165),0.7979 (0.7835-0.8131),0.2753 (0.2686-0.2823)
BVAP,0.4672 (0.1719-0.7961),0.5328 (0.2039-0.8281),0.6793 (0.4077-0.8974)
HVAP,0.5094 (0.1781-0.8261),0.4906 (0.1739-0.8219),0.6511 (0.3747-0.8881)
OVAP,0.5197 (0.2011-0.8413),0.4803 (0.1587-0.7989),0.6563 (0.3552-0.8991)
