race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.2864 (0.2657-0.3059),0.7136 (0.6941-0.7343),0.2974 (0.2892-0.3056)
OVAP,0.5091 (0.2006-0.8253),0.4909 (0.1747-0.7994),0.6682 (0.416-0.8921)
