race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.3178 (0.3033-0.333),0.6822 (0.667-0.6967),0.2984 (0.2914-0.3056)
BVAP,0.5187 (0.1925-0.843),0.4813 (0.157-0.8075),0.6483 (0.3805-0.8872)
HVAP,0.4934 (0.1687-0.791),0.5066 (0.209-0.8313),0.6734 (0.3945-0.9001)
OVAP,0.503 (0.1576-0.8214),0.497 (0.1786-0.8424),0.6655 (0.3377-0.903)
