race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.4435 (0.3041-0.5824),0.5565 (0.4176-0.6959),0.0233 (0.019-0.0286)
OVAP,0.5527 (0.3115-0.7771),0.4473 (0.2229-0.6885),0.6982 (0.4811-0.8617)
