race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.35 (0.2821-0.4137),0.65 (0.5863-0.7179),0.3584 (0.3234-0.3962)
OVAP,0.9799 (0.9718-0.9862),0.0201 (0.0138-0.0282),0.2266 (0.2187-0.2344)
