race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.3088 (0.2263-0.3857),0.6912 (0.6143-0.7737),0.3991 (0.3522-0.4473)
OVAP,0.8348 (0.8167-0.8529),0.1652 (0.1471-0.1833),0.2789 (0.2706-0.2877)
