race,AG18D,AG18R,AG18Turnout
WVAP,0.5434 (0.4902-0.5929),0.4566 (0.4071-0.5098),0.3939 (0.3539-0.4346)
OVAP,0.9862 (0.9809-0.9904),0.0138 (0.0096-0.0191),0.2776 (0.2689-0.2866)
