race,AG14D,AG14R,AG14Turnout
WVAP,0.5925 (0.529-0.6571),0.4075 (0.3429-0.471),0.3239 (0.282-0.3659)
BVAP,0.9873 (0.9815-0.992),0.0127 (0.008-0.0185),0.2638 (0.2521-0.2743)
HVAP,0.6686 (0.4896-0.8148),0.3314 (0.1852-0.5104),0.0479 (0.0282-0.0746)
OVAP,0.5222 (0.272-0.749),0.4778 (0.251-0.728),0.1689 (0.0993-0.2505)
