race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8315 (0.7426-0.9035),0.1685 (0.0965-0.2574),0.1906 (0.1593-0.2227)
OVAP,0.2327 (0.2101-0.2557),0.7673 (0.7443-0.7899),0.1538 (0.1484-0.1591)
