race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.7536 (0.7001-0.8034),0.2464 (0.1966-0.2999),0.3764 (0.3298-0.4209)
BVAP,0.9912 (0.9868-0.9946),0.0088 (0.0054-0.0132),0.3245 (0.3116-0.3378)
HVAP,0.7916 (0.6402-0.8942),0.2084 (0.1058-0.3598),0.0762 (0.0453-0.1139)
OVAP,0.4888 (0.2455-0.694),0.5112 (0.306-0.7545),0.2248 (0.1372-0.3231)
