race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.6373 (0.5399-0.7363),0.0809 (0.0458-0.1301),0.2818 (0.1861-0.3758),0.1058 (0.0855-0.1267)
OVAP,0.2669 (0.2446-0.2896),0.4951 (0.4764-0.5142),0.238 (0.2186-0.2586),0.0856 (0.0823-0.0891)
