race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.4984 (0.4404-0.5484),0.5016 (0.4516-0.5596),0.3798 (0.3416-0.4176)
OVAP,0.9879 (0.9826-0.992),0.0121 (0.008-0.0174),0.275 (0.2669-0.2834)
