race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.2769 (0.2125-0.3432),0.0873 (0.0707-0.1055),0.1627 (0.1278-0.198),0.1111 (0.091-0.134),0.362 (0.2939-0.429),0.1238 (0.1075-0.1399)
OVAP,0.4287 (0.4124-0.4447),0.0051 (0.0036-0.0068),0.021 (0.0162-0.0264),0.0065 (0.0046-0.0088),0.5388 (0.5227-0.5552),0.1125 (0.1092-0.1161)
