race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.4121 (0.3113-0.5232),0.3443 (0.2447-0.4394),0.2436 (0.176-0.3229),0.0854 (0.0691-0.1025)
BVAP,0.8799 (0.8603-0.9002),0.1044 (0.0853-0.124),0.0157 (0.0099-0.0235),0.1092 (0.1044-0.1137)
HVAP,0.3462 (0.1917-0.5282),0.4142 (0.2327-0.6058),0.2396 (0.1269-0.3837),0.0251 (0.016-0.0368)
OVAP,0.186 (0.0835-0.3518),0.3605 (0.2107-0.5049),0.4535 (0.3205-0.592),0.093 (0.0667-0.1254)
