race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.476 (0.4213-0.5255),0.524 (0.4745-0.5787),0.5046 (0.4557-0.5543)
OVAP,0.9914 (0.9874-0.9946),0.0086 (0.0054-0.0126),0.4151 (0.4043-0.4262)
