race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4533 (0.3889-0.5121),0.5467 (0.4879-0.6111),0.3616 (0.3208-0.4029)
OVAP,0.9802 (0.9729-0.9864),0.0198 (0.0136-0.0271),0.2227 (0.2144-0.2313)
