race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.4973 (0.4426-0.5478),0.5027 (0.4522-0.5574),0.3796 (0.3422-0.4195)
OVAP,0.9845 (0.9782-0.9895),0.0155 (0.0105-0.0218),0.2682 (0.2601-0.2762)
