race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.8637 (0.7791-0.9249),0.1363 (0.0751-0.2209),0.0801 (0.06-0.1019)
OVAP,0.5571 (0.5364-0.5776),0.4429 (0.4224-0.4636),0.0804 (0.0769-0.084)
