race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.8878 (0.8209-0.9359),0.1122 (0.0641-0.1791),0.0818 (0.0637-0.102)
BVAP,0.5459 (0.524-0.5667),0.4541 (0.4333-0.476),0.0955 (0.0911-0.0999)
HVAP,0.5866 (0.4022-0.7619),0.4134 (0.2381-0.5978),0.0147 (0.0083-0.024)
OVAP,0.7344 (0.5207-0.8828),0.2656 (0.1172-0.4793),0.046 (0.0221-0.0812)
