race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.7649 (0.7049-0.8198),0.2351 (0.1802-0.2951),0.3928 (0.3434-0.4411)
BVAP,0.9881 (0.9826-0.9924),0.0119 (0.0076-0.0174),0.3196 (0.3063-0.3323)
HVAP,0.7139 (0.5057-0.8639),0.2861 (0.1361-0.4943),0.0721 (0.0418-0.1138)
OVAP,0.3836 (0.1969-0.565),0.6164 (0.435-0.8031),0.2896 (0.2097-0.3859)
