race,AG14D,AG14R,AG14Turnout
WVAP,0.449 (0.3834-0.5114),0.551 (0.4886-0.6166),0.3309 (0.2953-0.3698)
OVAP,0.9856 (0.9798-0.9903),0.0144 (0.0097-0.0202),0.2219 (0.2137-0.23)
