race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.5313 (0.4797-0.5781),0.4687 (0.4219-0.5203),0.4005 (0.3596-0.4429)
OVAP,0.9925 (0.9891-0.9951),0.0075 (0.0049-0.0109),0.3602 (0.3505-0.3694)
