race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.2191 (0.137-0.3009),0.3719 (0.2991-0.4486),0.409 (0.344-0.4747),0.1002 (0.085-0.1165)
OVAP,0.8576 (0.8417-0.8746),0.1199 (0.1048-0.1349),0.0225 (0.0152-0.0316),0.0921 (0.0892-0.095)
