race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.563 (0.5064-0.6126),0.437 (0.3874-0.4936),0.4073 (0.364-0.4483)
OVAP,0.9806 (0.973-0.9867),0.0194 (0.0133-0.027),0.2734 (0.2649-0.2827)
