race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.6242 (0.5608-0.6926),0.3758 (0.3074-0.4392),0.3372 (0.2932-0.3807)
BVAP,0.9858 (0.9792-0.9911),0.0142 (0.0089-0.0208),0.2637 (0.2517-0.2753)
HVAP,0.6412 (0.456-0.8024),0.3588 (0.1976-0.544),0.0502 (0.0301-0.079)
OVAP,0.3787 (0.1876-0.5612),0.6213 (0.4388-0.8124),0.2143 (0.1448-0.2976)
