race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.5799 (0.5256-0.6273),0.4201 (0.3727-0.4744),0.376 (0.3332-0.4173)
OVAP,0.9889 (0.9841-0.9928),0.0111 (0.0072-0.0159),0.2763 (0.2678-0.2855)
