race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.6492 (0.5775-0.711),0.3508 (0.289-0.4225),0.3387 (0.2955-0.3831)
BVAP,0.9909 (0.9864-0.9945),0.0091 (0.0055-0.0136),0.3076 (0.2949-0.3212)
HVAP,0.9001 (0.8337-0.9461),0.0999 (0.0539-0.1663),0.1773 (0.1248-0.2333)
OVAP,0.5794 (0.3422-0.7453),0.4206 (0.2547-0.6578),0.3014 (0.1852-0.4178)
