race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.7123 (0.6589-0.7657),0.2877 (0.2343-0.3411),0.4069 (0.3586-0.4543)
BVAP,0.9944 (0.9913-0.9966),0.0056 (0.0034-0.0087),0.4326 (0.4187-0.446)
HVAP,0.7717 (0.599-0.8842),0.2283 (0.1158-0.401),0.0692 (0.0394-0.1068)
OVAP,0.5384 (0.118-0.7234),0.4616 (0.2766-0.882),0.2606 (0.1355-0.385)
