race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.3706 (0.3487-0.3886),0.6294 (0.6114-0.6513),0.3106 (0.2976-0.321)
OVAP,0.671 (0.3724-0.9032),0.329 (0.0968-0.6276),0.1051 (0.0466-0.1836)
