race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3427 (0.3197-0.3618),0.6573 (0.6382-0.6803),0.4356 (0.4187-0.45)
OVAP,0.7402 (0.4755-0.9184),0.2598 (0.0816-0.5245),0.1677 (0.0834-0.27)
