race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4509 (0.4294-0.4706),0.5491 (0.5294-0.5706),0.351 (0.3372-0.3623)
OVAP,0.7022 (0.3555-0.9085),0.2978 (0.0915-0.6445),0.118 (0.0554-0.1999)
