race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9851 (0.9731-0.9938),0.0149 (0.0062-0.0269),0.036 (0.0312-0.04)
OVAP,0.7319 (0.5386-0.8584),0.2681 (0.1416-0.4614),0.0536 (0.0287-0.0859)
