race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.3484 (0.3198-0.374),0.6516 (0.626-0.6802),0.2856 (0.2732-0.2984)
BVAP,0.5956 (0.2832-0.8623),0.4044 (0.1377-0.7168),0.093 (0.0453-0.1589)
HVAP,0.6359 (0.3199-0.8937),0.3641 (0.1063-0.6801),0.4301 (0.1989-0.6685)
OVAP,0.6739 (0.3825-0.9045),0.3261 (0.0955-0.6175),0.55 (0.2748-0.7947)
