race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.2832 (0.2594-0.3042),0.7168 (0.6958-0.7406),0.4432 (0.4268-0.4573)
OVAP,0.7502 (0.5126-0.9231),0.2498 (0.0769-0.4874),0.191 (0.1085-0.2937)
