race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3672 (0.3044-0.4199),0.3832 (0.3363-0.4316),0.2496 (0.2048-0.2909),0.0316 (0.0282-0.0349)
OVAP,0.5189 (0.2757-0.735),0.2428 (0.0844-0.4587),0.2383 (0.0811-0.4492),0.0578 (0.0314-0.0875)
