race,AG14D,AG14R,AG14Turnout
WVAP,0.3106 (0.286-0.332),0.6894 (0.668-0.714),0.2902 (0.2783-0.3006)
OVAP,0.6899 (0.3617-0.9025),0.3101 (0.0975-0.6383),0.1067 (0.0476-0.1806)
