race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2214 (0.1974-0.2418),0.7786 (0.7582-0.8026),0.3151 (0.3031-0.3254)
OVAP,0.7016 (0.4389-0.912),0.2984 (0.088-0.5611),0.1204 (0.0612-0.193)
