race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.4633 (0.4165-0.5099),0.0796 (0.0452-0.1162),0.4571 (0.4106-0.5038),0.0331 (0.0299-0.0362)
OVAP,0.2782 (0.1039-0.4819),0.4021 (0.209-0.6169),0.3197 (0.1311-0.5239),0.0584 (0.0346-0.085)
