race,AG14D,AG14R,AG14Turnout
WVAP,0.2756 (0.2437-0.3072),0.7244 (0.6928-0.7563),0.2647 (0.2515-0.2784)
BVAP,0.6167 (0.2545-0.8856),0.3833 (0.1144-0.7455),0.0928 (0.0374-0.1657)
HVAP,0.6742 (0.3703-0.8889),0.3258 (0.1111-0.6297),0.4403 (0.2067-0.7325)
OVAP,0.7099 (0.3908-0.919),0.2901 (0.081-0.6092),0.5694 (0.3008-0.8369)
