race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1658 (0.1387-0.1893),0.8342 (0.8107-0.8613),0.3555 (0.3416-0.368)
OVAP,0.7193 (0.4676-0.9176),0.2807 (0.0824-0.5324),0.1606 (0.0824-0.252)
